,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
122,"Johor Bahru, Johor, Malaysia",06/18/2020,30.0,25.6,27.4,35.7,10.0,5.0,168.08,21.9,5.8,53.4,84.24,"Rain, Partially cloudy"
123,"Johor Bahru, Johor, Malaysia",06/20/2020,28.0,24.9,26.4,32.7,55.8,11.6,213.42,25.3,5.8,54.4,90.61,"Rain, Partially cloudy"
124,"Johor Bahru, Johor, Malaysia",06/21/2020,28.1,25.1,26.6,32.6,11.7,13.2,218.13,26.4,5.9,54.6,88.21,"Rain, Partially cloudy"
125,"Johor Bahru, Johor, Malaysia",06/22/2020,28.7,25.3,26.9,33.7,10.0,13.2,186.63,25.3,6.1,53.3,87.83,"Rain, Partially cloudy"
126,"Johor Bahru, Johor, Malaysia",06/23/2020,28.5,24.0,26.4,33.2,8.2,10.0,190.17,23.0,5.5,55.3,89.23,"Rain, Partially cloudy"
127,"Johor Bahru, Johor, Malaysia",06/24/2020,27.6,25.3,26.5,31.4,9.0,9.5,168.88,27.7,5.9,56.9,87.64,"Rain, Partially cloudy"
128,"Johor Bahru, Johor, Malaysia",06/25/2020,31.1,25.1,27.9,36.7,0.0,9.0,160.43,31.1,6.2,68.8,80.41,Partially cloudy
129,"Johor Bahru, Johor, Malaysia",06/26/2020,31.6,25.5,28.4,37.7,0.0,9.9,149.46,26.4,6.2,54.7,79.96,Partially cloudy
130,"Johor Bahru, Johor, Malaysia",06/27/2020,31.6,27.1,28.9,38.5,0.0,10.9,123.54,23.0,6.1,52.8,79.46,Partially cloudy
131,"Johor Bahru, Johor, Malaysia",06/28/2020,30.9,27.3,28.9,37.5,0.0,11.7,155.33,30.0,6.1,49.8,77.39,Partially cloudy
132,"Johor Bahru, Johor, Malaysia",06/29/2020,32.6,27.9,29.3,38.8,4.0,11.8,157.92,27.7,6.2,51.0,76.63,"Rain, Partially cloudy"
133,"Johor Bahru, Johor, Malaysia",06/30/2020,32.1,26.8,29.3,37.9,40.0,10.3,145.08,27.7,6.1,61.2,74.93,"Rain, Partially cloudy"
134,"Johor Bahru, Johor, Malaysia",7/1/2020,31.2,26.3,28.3,36.9,2.0,8.4,157.04,39.1,6.2,52.7,81.19,"Rain, Partially cloudy"
135,"Johor Bahru, Johor, Malaysia",7/2/2020,31.9,27.0,29.2,38.2,0.3,10.2,160.71,28.9,6.2,55.6,76.83,"Rain, Partially cloudy"
136,"Johor Bahru, Johor, Malaysia",7/3/2020,32.1,27.7,29.7,38.4,0.0,9.5,143.33,28.9,6.2,57.9,72.12,Partially cloudy
137,"Johor Bahru, Johor, Malaysia",7/4/2020,32.0,26.0,28.9,38.4,1.0,8.7,121.83,31.1,6.2,52.6,75.56,"Rain, Partially cloudy"
138,"Johor Bahru, Johor, Malaysia",7/5/2020,32.2,25.9,27.7,37.9,0.0,10.9,95.17,33.3,6.2,51.7,80.26,Partially cloudy
139,"Johor Bahru, Johor, Malaysia",7/6/2020,32.4,26.0,28.5,37.8,0.0,10.3,104.63,39.1,6.0,49.8,77.36,Partially cloudy
