,Name,Date time,Prediction,color_code
169,"Selangor, Malaysia",13/11/2021,24.91833115,#000000
170,"Selangor, Malaysia",14/11/2021,25.09195137,#000000
171,"Selangor, Malaysia",15/11/2021,24.74724579,#000000
172,"Selangor, Malaysia",16/11/2021,25.06496429,#000000
173,"Selangor, Malaysia",17/11/2021,24.87031364,#000000
174,"Selangor, Malaysia",18/11/2021,24.63130569,#000000
175,"Selangor, Malaysia",19/11/2021,25.02707291,#000000
176,"Selangor, Malaysia",20/11/2021,24.58105659,#000000
177,"Selangor, Malaysia",21/11/2021,24.75283813,#000000
178,"Selangor, Malaysia",22/11/2021,24.40863419,#000000
179,"Selangor, Malaysia",23/11/2021,24.72917557,#000000
180,"Selangor, Malaysia",24/11/2021,24.53963661,#000000
181,"Selangor, Malaysia",25/11/2021,24.30796814,#000000
182,"Selangor, Malaysia",26/11/2021,24.7132225,#000000
183,"Selangor, Malaysia",27/11/2021,24.27875137,#000000
184,"Selangor, Malaysia",28/11/2021,24.46401405,#000000
185,"Selangor, Malaysia",29/11/2021,24.13509941,#000000
186,"Selangor, Malaysia",30/11/2021,24.47259331,#000000
187,"Selangor, Malaysia",1/12/2021,24.30150414,#000000
188,"Selangor, Malaysia",2/12/2021,24.08961487,#000000
189,"Selangor, Malaysia",3/12/2021,24.51579094,#000000
190,"Selangor, Malaysia",4/12/2021,24.10319138,#000000
191,"Selangor, Malaysia",5/12/2021,24.31107521,#000000
192,"Selangor, Malaysia",6/12/2021,24.00532913,#000000
193,"Selangor, Malaysia",7/12/2021,24.36632538,#000000
194,"Selangor, Malaysia",8/12/2021,24.21886635,#000000
195,"Selangor, Malaysia",9/12/2021,24.0305233,#000000
196,"Selangor, Malaysia",10/12/2021,24.47995949,#000000
197,"Selangor, Malaysia",11/12/2021,24.09012794,#000000
198,"Selangor, Malaysia",12/12/2021,24.32009697,#000000
199,"Selangor, Malaysia",13/12/2021,24.03556252,#000000
200,"Selangor, Malaysia",14/12/2021,24.41672707,#000000
201,"Selangor, Malaysia",15/12/2021,24.28822136,#000000
202,"Selangor, Malaysia",16/12/2021,24.1174736,#000000
203,"Selangor, Malaysia",17/12/2021,24.583004,#000000
204,"Selangor, Malaysia",18/12/2021,24.20764923,#000000
205,"Selangor, Malaysia",19/12/2021,24.45037079,#000000
206,"Selangor, Malaysia",20/12/2021,24.17678261,#000000
207,"Selangor, Malaysia",21/12/2021,24.5670166,#000000
208,"Selangor, Malaysia",22/12/2021,24.44566154,#000000
209,"Selangor, Malaysia",23/12/2021,24.28010941,#000000
210,"Selangor, Malaysia",24/12/2021,24.74887466,#000000
211,"Selangor, Malaysia",25/12/2021,24.37480736,#000000
212,"Selangor, Malaysia",26/12/2021,24.61689568,#000000
213,"Selangor, Malaysia",27/12/2021,24.34080124,#000000
214,"Selangor, Malaysia",28/12/2021,24.72672272,#000000
215,"Selangor, Malaysia",29/12/2021,24.59933281,#000000
216,"Selangor, Malaysia",30/12/2021,24.42612457,#000000
217,"Selangor, Malaysia",31/12/2021,24.88572884,#000000
218,"Selangor, Malaysia",1/1/2022,24.50111771,#000000
219,"Selangor, Malaysia",2/1/2022,24.73143196,#000000
220,"Selangor, Malaysia",3/1/2022,24.44247818,#000000
221,"Selangor, Malaysia",4/1/2022,24.81462288,#000000
222,"Selangor, Malaysia",5/1/2022,24.67270279,#000000
223,"Selangor, Malaysia",6/1/2022,24.48439217,#000000
224,"Selangor, Malaysia",7/1/2022,24.92849541,#000000
225,"Selangor, Malaysia",8/1/2022,24.52817535,#000000
226,"Selangor, Malaysia",9/1/2022,24.74274635,#000000
227,"Selangor, Malaysia",10/1/2022,24.43820381,#000000
228,"Selangor, Malaysia",11/1/2022,24.79508591,#000000
229,"Selangor, Malaysia",12/1/2022,24.63840675,#000000
230,"Selangor, Malaysia",13/1/2022,24.43600273,#000000
231,"Selangor, Malaysia",14/1/2022,24.86683846,#000000
232,"Selangor, Malaysia",15/1/2022,24.45422363,#000000
233,"Selangor, Malaysia",16/1/2022,24.65760803,#000000
234,"Selangor, Malaysia",17/1/2022,24.34310913,#000000
235,"Selangor, Malaysia",18/1/2022,24.69137573,#000000
236,"Selangor, Malaysia",19/1/2022,24.52751732,#000000
237,"Selangor, Malaysia",20/1/2022,24.31944466,#000000
238,"Selangor, Malaysia",21/1/2022,24.74619102,#000000
239,"Selangor, Malaysia",22/1/2022,24.33110428,#000000
240,"Selangor, Malaysia",23/1/2022,24.53366661,#000000
241,"Selangor, Malaysia",24/1/2022,24.22000313,#000000
242,"Selangor, Malaysia",25/1/2022,24.570755,#000000
243,"Selangor, Malaysia",26/1/2022,24.41100693,#000000
244,"Selangor, Malaysia",27/1/2022,24.20863152,#000000
245,"Selangor, Malaysia",28/1/2022,24.6425972,#000000
246,"Selangor, Malaysia",29/1/2022,24.23618317,#000000
247,"Selangor, Malaysia",30/1/2022,24.44877815,#000000
248,"Selangor, Malaysia",31/1/2022,24.14640808,#000000
249,"Selangor, Malaysia",1/2/2022,24.50959969,#000000
250,"Selangor, Malaysia",2/2/2022,24.36330795,#000000
251,"Selangor, Malaysia",3/2/2022,24.17526817,#000000
252,"Selangor, Malaysia",4/2/2022,24.62430573,#000000
253,"Selangor, Malaysia",5/2/2022,24.2335453,#000000
254,"Selangor, Malaysia",6/2/2022,24.46221924,#000000
255,"Selangor, Malaysia",7/2/2022,24.17619133,#000000
256,"Selangor, Malaysia",8/2/2022,24.55582047,#000000
257,"Selangor, Malaysia",9/2/2022,24.42590332,#000000
258,"Selangor, Malaysia",10/2/2022,24.25400734,#000000
259,"Selangor, Malaysia",11/2/2022,24.71880341,#000000
260,"Selangor, Malaysia",12/2/2022,24.34325218,#000000
261,"Selangor, Malaysia",13/2/2022,24.58644676,#000000
262,"Selangor, Malaysia",14/2/2022,24.31409836,#000000
263,"Selangor, Malaysia",15/2/2022,24.70644379,#000000
264,"Selangor, Malaysia",16/2/2022,24.58815002,#000000
265,"Selangor, Malaysia",17/2/2022,24.4266777,#000000
266,"Selangor, Malaysia",18/2/2022,24.9005928,#000000
267,"Selangor, Malaysia",19/2/2022,24.53278351,#000000
268,"Selangor, Malaysia",20/2/2022,24.78225899,#000000
269,"Selangor, Malaysia",21/2/2022,24.51468468,#000000
270,"Selangor, Malaysia",22/2/2022,24.91024971,#000000
271,"Selangor, Malaysia",23/2/2022,24.79360008,#000000
272,"Selangor, Malaysia",24/2/2022,24.63218689,#000000
273,"Selangor, Malaysia",25/2/2022,25.10458374,#000000
274,"Selangor, Malaysia",26/2/2022,24.73369789,#000000
275,"Selangor, Malaysia",27/2/2022,24.97857666,#000000
276,"Selangor, Malaysia",28/2/2022,24.70493698,#000000
277,"Selangor, Malaysia",1/3/2022,25.09303665,#000000
278,"Selangor, Malaysia",2/3/2022,24.96759796,#000000
279,"Selangor, Malaysia",3/3/2022,24.79615974,#000000
280,"Selangor, Malaysia",4/3/2022,25.25740433,#000000
281,"Selangor, Malaysia",5/3/2022,24.87434196,#000000
282,"Selangor, Malaysia",6/3/2022,25.10614967,#000000
283,"Selangor, Malaysia",7/3/2022,24.81866837,#000000
284,"Selangor, Malaysia",8/3/2022,25.19228935,#000000
285,"Selangor, Malaysia",9/3/2022,25.05186844,#000000
286,"Selangor, Malaysia",10/3/2022,24.86509705,#000000
287,"Selangor, Malaysia",11/3/2022,25.3107872,#000000
288,"Selangor, Malaysia",12/3/2022,24.91210175,#000000
289,"Selangor, Malaysia",13/3/2022,25.12835121,#000000
290,"Selangor, Malaysia",14/3/2022,24.82551956,#000000
291,"Selangor, Malaysia",15/3/2022,25.1841259,#000000
292,"Selangor, Malaysia",16/3/2022,25.02916145,#000000
293,"Selangor, Malaysia",17/3/2022,24.82842636,#000000
294,"Selangor, Malaysia",18/3/2022,25.26085281,#000000
295,"Selangor, Malaysia",19/3/2022,24.84970474,#000000
296,"Selangor, Malaysia",20/3/2022,25.05438232,#000000
